Table Name;Column Name;Business Domain Name;Business Sub-Domain Name;Business Name;Column Description;Sample Values;Attribute related business rationale;Attribute logical business rules;Data Owner Name;Data Owner E-Mail;Data Steward Approval;Data Steward Feedback (only if not approved);Data Owner Approval;Data Owner Feedback (only if not approved)
client_account;account_id;Client & Account Management;Account Master Data;Client Account Identifier;Unique identifier for a client account within Aurelia systems.;ACC123456789;Enables unique identification and traceability of client accounts across Aurelia systems.;"Mandatory; unique; immutable once assigned";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;client_name;Client & Account Management;Client Identity;Client Legal Name;Full legal name of the client as captured during onboarding.;ABC Holdings Ltd;Required for legal identification, contracts, and regulatory reporting.;"Mandatory; must match onboarding legal documentation";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;street_nm;Client & Account Management;Client Address;Client Street Address;"Primary mailing address field from onboarding; may include house number and street type.";12 Baker Street;Supports correspondence, jurisdiction checks, and KYC validation.;"Optional; free text";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;acct_open_date;Client & Account Management;Account Lifecycle;Account Opening Date;Date when the account was officially opened in Aurelia systems.;15.03.2022;Determines account age, lifecycle stage, and regulatory timelines.;"Mandatory; must be <= current date";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;bal_local;Finance;Account Balances;Local Currency Account Balance;Account balance in the client's local reporting currency.;125000.50;Used for client reporting, interest calculation, and exposure assessment.;"Numeric; may be negative";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;bal_usd;Finance;Account Balances;USD Equivalent Account Balance;Account balance converted to USD using internal FX rates.;137500.75;Enables consolidated financial and risk reporting across currencies.;Derived using approved FX rates;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;ref_agent_id;Operations;Relationship Management;Relationship Manager Identifier;Internal agent/employee identifier referencing relationship manager.;RM45678;Supports accountability and client servicing ownership.;"Optional; must reference valid employee record";Victor Vance;victor.vance@aureliacap.com;;;;
client_account;product_fee_tier;Product Management;Pricing;Product Fee Tier;Internal fee tier for the product applicable to the client.;Tier_2;Drives fee calculation and revenue attribution.;Must align with pricing catalogue;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;booking_entity;Finance;Legal Entity Management;Booking Legal Entity;The legal entity where the trade or account is booked.;Aurelia Bank Poland;Required for accounting, tax, and regulatory reporting.;Must exist in legal entity reference data;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;cust_onboard_channel;Client & Account Management;Onboarding;Client Onboarding Channel;Channel through which client onboarded (Branch, Online, Broker).;Online;Enables channel performance analysis and risk profiling.;Enumerated values only;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;account_type;Client & Account Management;Account Classification;Account Type;Type of account (Custody, Trading, Lending, Savings).;Trading;Determines applicable products and controls.;Controlled vocabulary;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;currency_code;Finance;Reference Data;Account Currency Code;ISO currency code for the account (e.g., EUR, USD, PLN).;EUR;Enables correct valuation and FX processing.;ISO 4217 compliant;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;last_activity_date;Operations;Account Activity;Last Account Activity Date;Most recent date of transaction activity on the account.;30.11.2024;Identifies dormant or inactive accounts.;Must be >= acct_open_date;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;open_issue_count;Operations;Issue Management;Open Issue Count;Number of open operational or client issues linked to account.;2;Tracks unresolved issues.;Integer >= 0;Victor Vance;victor.vance@aureliacap.com;;;;
client_account;svc_level;Client & Account Management;Service Model;Client Service Level;Service level agreement category for the client.;Gold;Drives service prioritization and SLAs.;Controlled list;Victor Vance;victor.vance@aureliacap.com;;;;
data_manag_table;data_source_system;Data Management;Data Lineage;Source System Identifier;Source system for the record (OnboardSys, CRM, CoreBank).;CoreBank;Supports lineage and reconciliation.;Controlled system list;Sarah Jenkins;sarah.jenkins@aureliacap.com;;;;
data_manag_table;record_last_updated;Data Management;Data Quality;Record Last Updated Timestamp;Timestamp when the record was last updated in the system.;10.01.2025 14:32;Enables auditability and data freshness monitoring.;System-generated timestamp;Sarah Jenkins;sarah.jenkins@aureliacap.com;;;;
